Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Will (orphan),21,0,0,0,37,1,0,0,0,0,1,0
Willam Wells,21,1,5,6,6,1,0,0,0,0,0,1
Willem Lannister,21,1,3,20,19,1,1,0,0,1,0,0
William Mooton,21,0,0,0,14,1,1,0,0,0,1,0
Willis Wode,21,0,0,0,31,1,1,1,0,0,0,0
Willit,21,0,0,0,65,1,0,0,1,0,0,0
Willow Witch-eye,21,1,5,69,37,0,0,0,0,0,0,1
Willum,21,0,0,0,43,1,0,1,0,0,0,0
Woth,21,1,2,14,14,1,0,0,1,0,0,0
Wulfe,21,0,0,0,29,1,0,0,0,0,1,1
Wun Weg Wun Dar Wun,21,0,0,0,35,1,0,0,0,0,0,1
Wyl (guard),21,1,1,35,35,1,0,1,0,0,0,0
Wyl the Whittler,21,1,3,34,34,1,0,0,0,1,0,0
Wylis Manderly,21,0,0,0,55,1,1,1,1,0,1,0
Wylla Manderly,21,0,0,0,19,0,1,0,0,0,0,1
Wyman Manderly,21,0,0,0,16,1,1,0,1,0,0,1
Wynafryd Manderly,21,0,0,0,19,1,1,0,0,0,0,1
Wynton Stout,21,0,0,0,41,1,0,0,0,1,0,0
Xaro Xhoan Daxos,21,0,0,0,12,1,1,0,1,0,0,1
Xhondo,21,0,0,0,26,1,0,0,0,0,1,0
Yandry,21,0,0,0,8,1,0,0,0,0,0,1
Yellow Dick,21,1,5,46,12,1,0,0,0,0,0,1
Ygon Farwynd,21,0,0,0,19,1,1,0,0,0,1,0
Ygritte,21,1,3,55,51,0,0,0,1,1,0,0
Yohn Farwynd,21,0,0,0,19,1,1,0,0,0,1,0
Yohn Royce,21,0,0,0,29,1,1,1,0,0,1,0
Yoren,21,1,2,19,13,1,0,1,1,0,0,0
Young Henly,21,1,3,55,55,1,0,0,0,1,0,0
Ysilla,21,0,0,0,8,1,0,0,0,0,0,1
Zei,21,0,0,0,64,0,0,0,0,1,0,0
Zollo,21,0,0,0,21,1,0,0,0,1,0,0
Yurkhaz zo Yunzak,21,1,5,59,47,1,0,0,0,0,0,1
Yezzan Zo Qaggaz,21,1,5,57,25,1,1,0,0,0,0,1
Torwynd the Tame,21,1,5,73,73,1,0,0,0,1,0,0
Talbert Serry,21,1,4,29,29,1,1,0,0,0,1,0
